2013-02-13 22:26:30 status unpacked bsdutils 1:2.20.1-1ubuntu3
2013-02-13 22:26:30 install busybox-initramfs <none> 1:1.18.5-1ubuntu4
2013-02-13 22:26:30 status half-installed busybox-initramfs 1:1.18.5-1ubuntu4
2013-02-13 22:26:31 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2013-02-13 22:26:31 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2013-02-13 22:26:31 install coreutils <none> 8.13-3ubuntu3
2013-02-13 22:26:31 status half-installed coreutils 8.13-3ubuntu3
2013-02-13 22:26:31 status unpacked coreutils 8.13-3ubuntu3
2013-02-13 22:26:31 status unpacked coreutils 8.13-3ubuntu3
2013-02-13 22:26:31 install cpio <none> 2.11-7ubuntu3
2013-02-13 22:26:31 status half-installed cpio 2.11-7ubuntu3
2013-02-13 22:26:32 status unpacked cpio 2.11-7ubuntu3
2013-02-13 22:26:32 status unpacked cpio 2.11-7ubuntu3
2013-02-13 22:26:32 install dash <none> 0.5.7-2ubuntu2
2013-02-13 22:26:32 status half-installed dash 0.5.7-2ubuntu2
2013-02-13 22:26:32 status unpacked dash 0.5.7-2ubuntu2
2013-02-13 22:26:32 status unpacked dash 0.5.7-2ubuntu2
2013-02-13 22:26:32 install debconf <none> 1.5.42ubuntu1
2013-02-13 22:26:32 status half-installed debconf 1.5.42ubuntu1
2013-02-13 22:26:33 status unpacked debconf 1.5.42ubuntu1
2013-02-13 22:26:33 status unpacked debconf 1.5.42ubuntu1
2013-02-13 22:26:33 install debianutils <none> 4.2.1ubuntu2
2013-02-13 22:26:33 status half-installed debianutils 4.2.1ubuntu2
2013-02-13 22:26:33 status unpacked debianutils 4.2.1ubuntu2
2013-02-13 22:26:33 status unpacked debianutils 4.2.1ubuntu2
2013-02-13 22:26:33 install diffutils <none> 1:3.2-1ubuntu1
2013-02-13 22:26:33 status half-installed diffutils 1:3.2-1ubuntu1
2013-02-13 22:26:33 status unpacked diffutils 1:3.2-1ubuntu1
2013-02-13 22:26:33 status unpacked diffutils 1:3.2-1ubuntu1
